Date,Month,HH:MM,Temperature
1/1/2000,1,1:00,-0.6
1/1/2000,1,2:00,-1.1
1/1/2000,1,3:00,0
1/1/2000,1,4:00,-1.7
1/1/2000,1,5:00,-1.1
1/1/2000,1,6:00,-1.7
1/1/2000,1,7:00,-0.6
1/1/2000,1,8:00,-1.7
1/1/2000,1,9:00,-1.1
1/1/2000,1,10:00,2.8
1/1/2000,1,11:00,6.1
1/1/2000,1,12:00,10
1/1/2000,1,13:00,11.7
1/1/2000,1,14:00,12.2
1/1/2000,1,15:00,13.3
1/1/2000,1,16:00,12.2
1/1/2000,1,17:00,11.1
1/1/2000,1,18:00,9.4
1/1/2000,1,19:00,10
1/1/2000,1,20:00,8.9
1/1/2000,1,21:00,7.8
1/1/2000,1,22:00,8.3
1/1/2000,1,23:00,8.3
1/1/2000,1,24:00:00,9.4
1/2/2000,1,1:00,9.4
1/2/2000,1,2:00,11.1
1/2/2000,1,3:00,11.7
1/2/2000,1,4:00,11.1
1/2/2000,1,5:00,11.7
1/2/2000,1,6:00,11.7
1/2/2000,1,7:00,11.7
1/2/2000,1,8:00,12.2
1/2/2000,1,9:00,12.2
1/2/2000,1,10:00,13.3
1/2/2000,1,11:00,13.9
1/2/2000,1,12:00,13.9
1/2/2000,1,13:00,14.4
1/2/2000,1,14:00,14
1/2/2000,1,15:00,15.6
1/2/2000,1,16:00,16.1
1/2/2000,1,17:00,15.6
1/2/2000,1,18:00,15.6
1/2/2000,1,19:00,15.6
1/2/2000,1,20:00,13.9
1/2/2000,1,21:00,10
1/2/2000,1,22:00,7.2
1/2/2000,1,23:00,4.4
1/2/2000,1,24:00:00,4.4
1/3/2000,1,1:00,4.4
1/3/2000,1,2:00,4.4
1/3/2000,1,3:00,4.4
1/3/2000,1,4:00,3.9
1/3/2000,1,5:00,3.9
1/3/2000,1,6:00,3.9
1/3/2000,1,7:00,3.9
1/3/2000,1,8:00,3.9
1/3/2000,1,9:00,3.9
1/3/2000,1,10:00,4.4
1/3/2000,1,11:00,4
1/3/2000,1,12:00,5
1/3/2000,1,13:00,4.4
1/3/2000,1,14:00,6.1
1/3/2000,1,15:00,8
1/3/2000,1,16:00,9.4
1/3/2000,1,17:00,10
1/3/2000,1,18:00,10
1/3/2000,1,19:00,10
1/3/2000,1,20:00,9.4
1/3/2000,1,21:00,7.2
1/3/2000,1,22:00,6.7
1/3/2000,1,23:00,6.7
1/3/2000,1,24:00:00,8.9
1/4/2000,1,1:00,5
1/4/2000,1,2:00,4.4
1/4/2000,1,3:00,1.7
1/4/2000,1,4:00,0.6
1/4/2000,1,5:00,0
1/4/2000,1,6:00,0
1/4/2000,1,7:00,-0.6
1/4/2000,1,8:00,-1.1
1/4/2000,1,9:00,-1.1
1/4/2000,1,10:00,-1.1
1/4/2000,1,11:00,-1
1/4/2000,1,12:00,-0.6
1/4/2000,1,13:00,-1.1
1/4/2000,1,14:00,-1.1
1/4/2000,1,15:00,-1.1
1/4/2000,1,16:00,-1.7
1/4/2000,1,17:00,-2.2
1/4/2000,1,18:00,-3
1/4/2000,1,19:00,-2.8
1/4/2000,1,20:00,-2.8
1/4/2000,1,21:00,-3.3
1/4/2000,1,22:00,-4.4
1/4/2000,1,23:00,-4.4
1/4/2000,1,24:00:00,-5
1/5/2000,1,1:00,-5.6
1/5/2000,1,2:00,-5.6
1/5/2000,1,3:00,-6.1
1/5/2000,1,4:00,-6.1
1/5/2000,1,5:00,-6.7
1/5/2000,1,6:00,-6.1
1/5/2000,1,7:00,-6.7
1/5/2000,1,8:00,-5.6
1/5/2000,1,9:00,-6.1
1/5/2000,1,10:00,-6.1
1/5/2000,1,11:00,-5.6
1/5/2000,1,12:00,-5.6
1/5/2000,1,13:00,-4.4
1/5/2000,1,14:00,-4.4
1/5/2000,1,15:00,-3.9
1/5/2000,1,16:00,-3.3
1/5/2000,1,17:00,-3.3
1/5/2000,1,18:00,-3.3
1/5/2000,1,19:00,-3.3
1/5/2000,1,20:00,-3.3
1/5/2000,1,21:00,-3.3
1/5/2000,1,22:00,-3.9
1/5/2000,1,23:00,-3.3
1/5/2000,1,24:00:00,-2.8
1/6/2000,1,1:00,-2.2
1/6/2000,1,2:00,-2.2
1/6/2000,1,3:00,-2.2
1/6/2000,1,4:00,-1.7
1/6/2000,1,5:00,-1.1
1/6/2000,1,6:00,-1.7
1/6/2000,1,7:00,-1.7
1/6/2000,1,8:00,-1.7
